"cell_id","sector_name","sector_letter","sector_number","grid.grid"
81,"P23","P","23",list(c(-27.1241691215239, -27.1125593846235, -27.1125593846235, -27.1241691215239, -27.1241691215239, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
82,"P24","P","24",list(c(-27.1125593846235, -27.100949647723, -27.100949647723, -27.1125593846235, -27.1125593846235, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
83,"P25","P","25",list(c(-27.100949647723, -27.0893399108226, -27.0893399108226, -27.100949647723, -27.100949647723, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
84,"P26","P","26",list(c(-27.0893399108226, -27.0777301739222, -27.0777301739222, -27.0893399108226, -27.0893399108226, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
85,"P27","P","27",list(c(-27.0777301739222, -27.0661204370217, -27.0661204370217, -27.0777301739222, -27.0777301739222, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
86,"P28","P","28",list(c(-27.0661204370217, -27.0545107001213, -27.0545107001213, -27.0661204370217, -27.0661204370217, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
87,"P29","P","29",list(c(-27.0545107001213, -27.0429009632209, -27.0429009632209, -27.0545107001213, -27.0545107001213, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
88,"O1","O","1",list(c(-27.3795833333334, -27.367973596433, -27.367973596433, -27.3795833333334, -27.3795833333334, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
89,"O2","O","2",list(c(-27.367973596433, -27.3563638595325, -27.3563638595325, -27.367973596433, -27.367973596433, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
90,"O3","O","3",list(c(-27.3563638595325, -27.3447541226321, -27.3447541226321, -27.3563638595325, -27.3563638595325, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
91,"O4","O","4",list(c(-27.3447541226321, -27.3331443857317, -27.3331443857317, -27.3447541226321, -27.3447541226321, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
92,"O5","O","5",list(c(-27.3331443857317, -27.3215346488312, -27.3215346488312, -27.3331443857317, -27.3331443857317, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
93,"O6","O","6",list(c(-27.3215346488312, -27.3099249119308, -27.3099249119308, -27.3215346488312, -27.3215346488312, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
94,"O7","O","7",list(c(-27.3099249119308, -27.2983151750304, -27.2983151750304, -27.3099249119308, -27.3099249119308, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
95,"O8","O","8",list(c(-27.2983151750304, -27.2867054381299, -27.2867054381299, -27.2983151750304, -27.2983151750304, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
96,"O9","O","9",list(c(-27.2867054381299, -27.2750957012295, -27.2750957012295, -27.2867054381299, -27.2867054381299, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
97,"O10","O","10",list(c(-27.2750957012295, -27.2634859643291, -27.2634859643291, -27.2750957012295, -27.2750957012295, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
98,"O11","O","11",list(c(-27.2634859643291, -27.2518762274286, -27.2518762274286, -27.2634859643291, -27.2634859643291, 38.6676310071129, 38.6676310071129, 38.6766951244301, 38.6766951244301, 38.6676310071129))
